Control ID,Check ID,Domain,Control Title,Control Path,Control Summary,Check Title,Security Functions,Threat Scenarios,Threat Actor or Source,Row Attack or Failure Scenario,Why This Check Is Required,Secure Examples,Required State,Responsible Role,Applies To,Verification Type,Verification Method,Expected Result,Required Evidence,Assessment Command,Assessment Platforms,SLSA Track,SLSA Requirement Levels,SLSA Minimum Level,SLSA Responsibility,SLSA Build L2 Scope,Framework Mappings,Mapping Status,Limitations,Implementation Status,Assessment Result,Evidence URL,Assignee,Due Date,Exception ID,Notes
PSB-REL-001,PSB-REL-001-REL-001,release-integrity,release署名とProvenanceを期待値に照合する,controls/release-integrity/signature-provenance-verification/README.md,Artifact署名とSLSA provenanceをconsumer-owned signer、builder、source、build expectationへ照合する。,Artifact digest matches the provenance subject,prevent; verify,RELEASE-FORGED-PROVENANCE: 攻撃者がartifactまたはprovenanceを差し替え、誤ったbuilderやsourceから生成されたreleaseを正規品として配布する。; RELEASE-TRUST-DOWNGRADE: 過去に署名・provenanceが存在したartifact familyで信頼signalが欠落または低下する。,attacker substituting an artifact while reusing unrelated valid provenance,downloaded bytes differ from the subject digest authenticated by provenance,signature validity alone does not bind evidence to the exact artifact being consumed,controls/release-integrity/signature-provenance-verification/secure/artifact/release.bin; controls/release-integrity/signature-provenance-verification/secure/provenance.json; controls/release-integrity/signature-provenance-verification/secure/signature.b64; controls/release-integrity/signature-provenance-verification/secure/trusted-public-key.pem; controls/release-integrity/signature-provenance-verification/secure/verification-policy.json,exact cryptographic digest correspondence,release-manager,release-artifact; provenance,automated,make verify-control CONTROL=PSB-REL-001,substituted artifacts and mismatched subjects are rejected,sanitized verifier output,,,build,L2,2,consumer,included,"nist-ssdf 1.1 (SP 800-218, 2022) / PS.2.1 / supports / high; openssf-osps-baseline 2026.02.19 / OSPS-BR-06.01 / verifies / high; slsa 1.2 / build-l2#consumer-validates-authenticity / verifies / high; slsa 1.2 / build-provenance / verifies / high",reviewed,このfixtureはSLSA Build levelの正式assessmentまたはcomplianceを証明しない。; Keyless certificate、transparency log、revocation、timestamp検証は実環境adapterが必要である。; Trusted builderまたはsigning key自体の侵害は検出できない。; Crypto verifierの実行失敗をcleanな結果として扱ってはいけない。,,,,,,,
PSB-REL-001,PSB-REL-001-REL-002,release-integrity,release署名とProvenanceを期待値に照合する,controls/release-integrity/signature-provenance-verification/README.md,Artifact署名とSLSA provenanceをconsumer-owned signer、builder、source、build expectationへ照合する。,Provenance signature verifies with the trusted public key,prevent; verify,RELEASE-FORGED-PROVENANCE: 攻撃者がartifactまたはprovenanceを差し替え、誤ったbuilderやsourceから生成されたreleaseを正規品として配布する。; RELEASE-TRUST-DOWNGRADE: 過去に署名・provenanceが存在したartifact familyで信頼signalが欠落または低下する。,external forger or unauthorized signer creating plausible provenance,provenance content is modified or signed by an identity the consumer did not approve,consumer-owned trust roots authenticate provenance origin and integrity before field evaluation,controls/release-integrity/signature-provenance-verification/secure/artifact/release.bin; controls/release-integrity/signature-provenance-verification/secure/provenance.json; controls/release-integrity/signature-provenance-verification/secure/signature.b64; controls/release-integrity/signature-provenance-verification/secure/trusted-public-key.pem; controls/release-integrity/signature-provenance-verification/secure/verification-policy.json,valid signature from a consumer-approved signer,release-manager,release-artifact; provenance,automated,make verify-control CONTROL=PSB-REL-001,missing invalid and untrusted signatures are rejected,sanitized verifier output; trusted signer policy,,,build,L2,2,consumer,included,"nist-ssdf 1.1 (SP 800-218, 2022) / PS.2.1 / supports / high; openssf-osps-baseline 2026.02.19 / OSPS-BR-06.01 / verifies / high; slsa 1.2 / build-l2#consumer-validates-authenticity / verifies / high",reviewed,このfixtureはSLSA Build levelの正式assessmentまたはcomplianceを証明しない。; Keyless certificate、transparency log、revocation、timestamp検証は実環境adapterが必要である。; Trusted builderまたはsigning key自体の侵害は検出できない。; Crypto verifierの実行失敗をcleanな結果として扱ってはいけない。,,,,,,,
PSB-REL-001,PSB-REL-001-REL-003,release-integrity,release署名とProvenanceを期待値に照合する,controls/release-integrity/signature-provenance-verification/README.md,Artifact署名とSLSA provenanceをconsumer-owned signer、builder、source、build expectationへ照合する。,Provenance matches consumer-owned build expectations,prevent; verify,RELEASE-FORGED-PROVENANCE: 攻撃者がartifactまたはprovenanceを差し替え、誤ったbuilderやsourceから生成されたreleaseを正規品として配布する。; RELEASE-TRUST-DOWNGRADE: 過去に署名・provenanceが存在したartifact familyで信頼signalが欠落または低下する。,compromised builder producer or release channel presenting authentic but unexpected output,correctly signed provenance names an unapproved builder source revision ref or build type,authenticity does not establish policy acceptability so consumer expectations must be checked separately,controls/release-integrity/signature-provenance-verification/secure/artifact/release.bin; controls/release-integrity/signature-provenance-verification/secure/provenance.json; controls/release-integrity/signature-provenance-verification/secure/signature.b64; controls/release-integrity/signature-provenance-verification/secure/trusted-public-key.pem; controls/release-integrity/signature-provenance-verification/secure/verification-policy.json,signer builder build type source commit and ref match policy,release-manager,provenance,automated,make verify-control CONTROL=PSB-REL-001,provenance outside the approved build expectation is rejected,sanitized verifier output; verification policy,,,build,,,,related-no-level,"nist-ssdf 1.1 (SP 800-218, 2022) / PS.2.1 / supports / high; slsa 1.2 / build-provenance / verifies / high",reviewed,このfixtureはSLSA Build levelの正式assessmentまたはcomplianceを証明しない。; Keyless certificate、transparency log、revocation、timestamp検証は実環境adapterが必要である。; Trusted builderまたはsigning key自体の侵害は検出できない。; Crypto verifierの実行失敗をcleanな結果として扱ってはいけない。,,,,,,,
PSB-REL-001,PSB-REL-001-REL-004,release-integrity,release署名とProvenanceを期待値に照合する,controls/release-integrity/signature-provenance-verification/README.md,Artifact署名とSLSA provenanceをconsumer-owned signer、builder、source、build expectationへ照合する。,Release trust signals cannot silently downgrade,prevent; verify,RELEASE-FORGED-PROVENANCE: 攻撃者がartifactまたはprovenanceを差し替え、誤ったbuilderやsourceから生成されたreleaseを正規品として配布する。; RELEASE-TRUST-DOWNGRADE: 過去に署名・provenanceが存在したartifact familyで信頼signalが欠落または低下する。,release operator or attacker removing verification signals to bypass a failing check,a previously protected artifact family is distributed without required signature or provenance,explicit no-downgrade rules prevent absence of evidence from silently becoming an accepted legacy path,controls/release-integrity/signature-provenance-verification/secure/artifact/release.bin; controls/release-integrity/signature-provenance-verification/secure/provenance.json; controls/release-integrity/signature-provenance-verification/secure/signature.b64; controls/release-integrity/signature-provenance-verification/secure/trusted-public-key.pem; controls/release-integrity/signature-provenance-verification/secure/verification-policy.json,required signature and provenance signals remain present,release-manager,release-artifact,automated,make verify-control CONTROL=PSB-REL-001,absent or weaker trust signals are rejected,negative-test output,,,build,,,,related-no-level,"nist-ssdf 1.1 (SP 800-218, 2022) / PS.2.1 / supports / high; openssf-osps-baseline 2026.02.19 / OSPS-BR-06.01 / verifies / high; slsa 1.2 / build-provenance / verifies / high",reviewed,このfixtureはSLSA Build levelの正式assessmentまたはcomplianceを証明しない。; Keyless certificate、transparency log、revocation、timestamp検証は実環境adapterが必要である。; Trusted builderまたはsigning key自体の侵害は検出できない。; Crypto verifierの実行失敗をcleanな結果として扱ってはいけない。,,,,,,,
PSB-REL-001,PSB-REL-001-REL-005,release-integrity,release署名とProvenanceを期待値に照合する,controls/release-integrity/signature-provenance-verification/README.md,Artifact署名とSLSA provenanceをconsumer-owned signer、builder、source、build expectationへ照合する。,Cryptographic verification failures are not clean results,prevent; verify,RELEASE-FORGED-PROVENANCE: 攻撃者がartifactまたはprovenanceを差し替え、誤ったbuilderやsourceから生成されたreleaseを正規品として配布する。; RELEASE-TRUST-DOWNGRADE: 過去に署名・provenanceが存在したartifact familyで信頼signalが欠落または低下する。,malformed input unavailable cryptographic tooling or verifier infrastructure failure,authenticity cannot be evaluated but the release is reported as trusted,a separate error state ensures operational failure never becomes a clean verification result,controls/release-integrity/signature-provenance-verification/secure/artifact/release.bin; controls/release-integrity/signature-provenance-verification/secure/provenance.json; controls/release-integrity/signature-provenance-verification/secure/signature.b64; controls/release-integrity/signature-provenance-verification/secure/trusted-public-key.pem; controls/release-integrity/signature-provenance-verification/secure/verification-policy.json,crypto tool and parser failures produce an error,release-manager,release-verifier,automated,make verify-control CONTROL=PSB-REL-001,verifier execution failure uses a distinct non-zero result,negative-test output,,,,,,,,UNMAPPED — framework review required,unmapped,このfixtureはSLSA Build levelの正式assessmentまたはcomplianceを証明しない。; Keyless certificate、transparency log、revocation、timestamp検証は実環境adapterが必要である。; Trusted builderまたはsigning key自体の侵害は検出できない。; Crypto verifierの実行失敗をcleanな結果として扱ってはいけない。,,,,,,,
PSB-REL-002,PSB-REL-002-RPD-001,release-integrity,Release artifactとprovenanceを一対一で公開・配布する,controls/release-integrity/provenance-publication-distribution/README.md,Producerが各release artifactへdigest-bound provenanceをimmutableかつconsumer-accessibleな場所で同時公開し、保持とno-downgradeを検証する。,Every release artifact has one digest-bound provenance object,prevent; verify; govern,RELEASE-PROVENANCE-OMISSION: Release artifactだけが公開され、対応するprovenanceが欠落または別artifact向けのままconsumerへ配布される。; RELEASE-PROVENANCE-DISTRIBUTION-BYPASS: Provenanceがmutable、unauthenticated、非公開、発見不能な場所へ置かれ、consumerがartifactと一緒に取得できない。; RELEASE-PROVENANCE-DOWNGRADE: 過去にprovenanceを要求していたartifact familyで公開遅延、早期削除、または要件無効化が起きる。,release operator artifact substituter or faulty publication automation,an artifact is published without provenance with reused provenance or with evidence whose subject names different bytes,platform generation does not make evidence consumable until each distributed artifact has an unambiguous one-to-one digest-bound provenance reference,controls/release-integrity/provenance-publication-distribution/secure/publication-policy.json; controls/release-integrity/provenance-publication-distribution/secure/release-manifest.json; controls/release-integrity/provenance-publication-distribution/scripts/verify.py,one unique provenance object per artifact with exact artifact SHA-256 subject binding and release-manifest discovery,release-manager,release-manifest; release-artifact; provenance,automated,make verify-control CONTROL=PSB-REL-002,duplicate missing orphaned mismatched and non-in-toto provenance records are rejected,sanitized RPD-001 verifier result; release manifest with artifact and provenance digests,,,build,L1,1,software-producer,included,"nist-ssdf 1.1 (SP 800-218, 2022) / PS.2.1 / supports / high; slsa 1.2 / build-l1#producer-distributes-provenance / verifies / high",reviewed,Fixtureはrelease APIとobject storageへ接続せず、production manifestとstorage inventoryを取得するread-only adapterが必要である。; URI、immutability、access、availabilityはsynthetic publication evidenceであり、TLS handshake、object lock、CDN cache、authorizationを独立検証しない。; Provenance content生成とplatform signer authenticityはPSB-BUILD-003、consumer側の署名・subject・builder expectation検証はPSB-REL-001が担当する。; 一年間のreference retentionは全productのsupport lifecycleや法的保存要件を満たすとは限らず、組織policyで延長する必要がある。; Public accessが不適切なprivate productではintended consumerのauthenticated access profileへ置き換え、credentialをmanifestへ埋め込んではならない。; このcontrolとSLSA mappingはSLSA Build Level 2達成またはcomplianceを単独で証明しない。,,,,,,,
PSB-REL-002,PSB-REL-002-RPD-002,release-integrity,Release artifactとprovenanceを一対一で公開・配布する,controls/release-integrity/provenance-publication-distribution/README.md,Producerが各release artifactへdigest-bound provenanceをimmutableかつconsumer-accessibleな場所で同時公開し、保持とno-downgradeを検証する。,Provenance is immutable authenticated discoverable and consumer-accessible,prevent; verify; govern,RELEASE-PROVENANCE-OMISSION: Release artifactだけが公開され、対応するprovenanceが欠落または別artifact向けのままconsumerへ配布される。; RELEASE-PROVENANCE-DISTRIBUTION-BYPASS: Provenanceがmutable、unauthenticated、非公開、発見不能な場所へ置かれ、consumerがartifactと一緒に取得できない。; RELEASE-PROVENANCE-DOWNGRADE: 過去にprovenanceを要求していたartifact familyで公開遅延、早期削除、または要件無効化が起きる。,storage administrator attacker or release automation publishing evidence to a mutable private or lookalike location,consumers can download an artifact but the provenance URL changes requires undisclosed access or cannot be derived from the release manifest,a valid provenance object that consumers cannot reliably find and retrieve alongside the artifact does not satisfy producer distribution,controls/release-integrity/provenance-publication-distribution/secure/publication-policy.json; controls/release-integrity/provenance-publication-distribution/secure/release-manifest.json; controls/release-integrity/provenance-publication-distribution/scripts/verify.py,exact versioned HTTPS locations with TLS server authentication immutability intended-consumer access and release-manifest discovery,release-manager,release-storage; release-manifest; provenance-location,automated,evaluate secure and insecure publication manifests with make verify-control CONTROL=PSB-REL-002,HTTP mutable query-bearing private unavailable duplicate and unversioned locations are rejected,sanitized RPD-002 verifier result; release storage access and immutability policy,,,build,L1,1,software-producer,included,"nist-ssdf 1.1 (SP 800-218, 2022) / PS.2.1 / supports / high; slsa 1.2 / build-l1#producer-distributes-provenance / verifies / high",reviewed,Fixtureはrelease APIとobject storageへ接続せず、production manifestとstorage inventoryを取得するread-only adapterが必要である。; URI、immutability、access、availabilityはsynthetic publication evidenceであり、TLS handshake、object lock、CDN cache、authorizationを独立検証しない。; Provenance content生成とplatform signer authenticityはPSB-BUILD-003、consumer側の署名・subject・builder expectation検証はPSB-REL-001が担当する。; 一年間のreference retentionは全productのsupport lifecycleや法的保存要件を満たすとは限らず、組織policyで延長する必要がある。; Public accessが不適切なprivate productではintended consumerのauthenticated access profileへ置き換え、credentialをmanifestへ埋め込んではならない。; このcontrolとSLSA mappingはSLSA Build Level 2達成またはcomplianceを単独で証明しない。,,,,,,,
PSB-REL-002,PSB-REL-002-RPD-003,release-integrity,Release artifactとprovenanceを一対一で公開・配布する,controls/release-integrity/provenance-publication-distribution/README.md,Producerが各release artifactへdigest-bound provenanceをimmutableかつconsumer-accessibleな場所で同時公開し、保持とno-downgradeを検証する。,Provenance is published promptly and retained with the release,prevent; verify; govern,RELEASE-PROVENANCE-OMISSION: Release artifactだけが公開され、対応するprovenanceが欠落または別artifact向けのままconsumerへ配布される。; RELEASE-PROVENANCE-DISTRIBUTION-BYPASS: Provenanceがmutable、unauthenticated、非公開、発見不能な場所へ置かれ、consumerがartifactと一緒に取得できない。; RELEASE-PROVENANCE-DOWNGRADE: 過去にprovenanceを要求していたartifact familyで公開遅延、早期削除、または要件無効化が起きる。,asynchronous publication failure storage lifecycle rule or operator deleting evidence early,consumers receive an artifact before evidence is available or later cannot verify an artifact that remains supported,distribution must cover the artifact consumption window rather than merely proving that provenance existed temporarily,controls/release-integrity/provenance-publication-distribution/secure/publication-policy.json; controls/release-integrity/provenance-publication-distribution/secure/release-manifest.json; controls/release-integrity/provenance-publication-distribution/scripts/verify.py,provenance publication no later than five minutes after its artifact and retention for at least one year from release publication,release-manager,release-publication; provenance-retention,automated,compare artifact publication provenance publication and retention timestamps with make verify-control CONTROL=PSB-REL-002,negative delay excessive delay and retention shorter than policy are rejected,sanitized RPD-003 verifier result; publication timestamps and retention policy,,,build,L1,1,software-producer,included,"nist-ssdf 1.1 (SP 800-218, 2022) / PS.2.1 / supports / high; slsa 1.2 / build-l1#producer-distributes-provenance / verifies / high",reviewed,Fixtureはrelease APIとobject storageへ接続せず、production manifestとstorage inventoryを取得するread-only adapterが必要である。; URI、immutability、access、availabilityはsynthetic publication evidenceであり、TLS handshake、object lock、CDN cache、authorizationを独立検証しない。; Provenance content生成とplatform signer authenticityはPSB-BUILD-003、consumer側の署名・subject・builder expectation検証はPSB-REL-001が担当する。; 一年間のreference retentionは全productのsupport lifecycleや法的保存要件を満たすとは限らず、組織policyで延長する必要がある。; Public accessが不適切なprivate productではintended consumerのauthenticated access profileへ置き換え、credentialをmanifestへ埋め込んではならない。; このcontrolとSLSA mappingはSLSA Build Level 2達成またはcomplianceを単独で証明しない。,,,,,,,
PSB-REL-002,PSB-REL-002-RPD-004,release-integrity,Release artifactとprovenanceを一対一で公開・配布する,controls/release-integrity/provenance-publication-distribution/README.md,Producerが各release artifactへdigest-bound provenanceをimmutableかつconsumer-accessibleな場所で同時公開し、保持とno-downgradeを検証する。,Protected artifact families cannot silently drop provenance,prevent; verify; govern,RELEASE-PROVENANCE-OMISSION: Release artifactだけが公開され、対応するprovenanceが欠落または別artifact向けのままconsumerへ配布される。; RELEASE-PROVENANCE-DISTRIBUTION-BYPASS: Provenanceがmutable、unauthenticated、非公開、発見不能な場所へ置かれ、consumerがartifactと一緒に取得できない。; RELEASE-PROVENANCE-DOWNGRADE: 過去にprovenanceを要求していたartifact familyで公開遅延、早期削除、または要件無効化が起きる。,compromised release operator policy drift or automation suppressing evidence after verification fails,a release family that normally carries provenance disables the requirement or publishes an inaccessible object to bypass a failed provenance check,explicit no-downgrade state prevents absence of evidence from being reclassified as an acceptable legacy release,controls/release-integrity/provenance-publication-distribution/secure/publication-policy.json; controls/release-integrity/provenance-publication-distribution/secure/release-manifest.json; controls/release-integrity/provenance-publication-distribution/scripts/verify.py,provenance remains mandatory present and accessible for every release in a previously protected artifact family,release-manager,release-policy; artifact-family,automated,compare protected artifact families with manifest requirement and object availability using make verify-control CONTROL=PSB-REL-002,disabled missing or inaccessible provenance in a protected family is rejected,sanitized RPD-004 verifier result; protected artifact-family publication policy,,,build,L1,1,software-producer,included,"nist-ssdf 1.1 (SP 800-218, 2022) / PS.2.1 / supports / high; slsa 1.2 / build-l1#producer-distributes-provenance / verifies / high",reviewed,Fixtureはrelease APIとobject storageへ接続せず、production manifestとstorage inventoryを取得するread-only adapterが必要である。; URI、immutability、access、availabilityはsynthetic publication evidenceであり、TLS handshake、object lock、CDN cache、authorizationを独立検証しない。; Provenance content生成とplatform signer authenticityはPSB-BUILD-003、consumer側の署名・subject・builder expectation検証はPSB-REL-001が担当する。; 一年間のreference retentionは全productのsupport lifecycleや法的保存要件を満たすとは限らず、組織policyで延長する必要がある。; Public accessが不適切なprivate productではintended consumerのauthenticated access profileへ置き換え、credentialをmanifestへ埋め込んではならない。; このcontrolとSLSA mappingはSLSA Build Level 2達成またはcomplianceを単独で証明しない。,,,,,,,
PSB-REL-002,PSB-REL-002-RPD-005,release-integrity,Release artifactとprovenanceを一対一で公開・配布する,controls/release-integrity/provenance-publication-distribution/README.md,Producerが各release artifactへdigest-bound provenanceをimmutableかつconsumer-accessibleな場所で同時公開し、保持とno-downgradeを検証する。,Publication and storage verification failures are not clean,prevent; verify; govern,RELEASE-PROVENANCE-OMISSION: Release artifactだけが公開され、対応するprovenanceが欠落または別artifact向けのままconsumerへ配布される。; RELEASE-PROVENANCE-DISTRIBUTION-BYPASS: Provenanceがmutable、unauthenticated、非公開、発見不能な場所へ置かれ、consumerがartifactと一緒に取得できない。; RELEASE-PROVENANCE-DOWNGRADE: 過去にprovenanceを要求していたartifact familyで公開遅延、早期削除、または要件無効化が起きる。,unavailable release API incomplete storage inventory malformed manifest or verifier infrastructure failure,provenance distribution cannot be evaluated but the release is reported as fully published,a distinct error prevents monitoring and parser outages from being interpreted as successful evidence distribution,controls/release-integrity/provenance-publication-distribution/secure/publication-policy.json; controls/release-integrity/provenance-publication-distribution/secure/release-manifest.json; controls/release-integrity/provenance-publication-distribution/scripts/verify.py,unavailable incomplete and malformed publication evidence returns a distinct error,release-manager,release-publication-verifier; release-storage-probe,automated,execute unavailable and malformed fixtures with make verify-control CONTROL=PSB-REL-002,evaluation failure exits 2 and emits ERROR without exposing private locations,sanitized RPD-005 negative-test output,,,,,,,,UNMAPPED — framework review required,unmapped,Fixtureはrelease APIとobject storageへ接続せず、production manifestとstorage inventoryを取得するread-only adapterが必要である。; URI、immutability、access、availabilityはsynthetic publication evidenceであり、TLS handshake、object lock、CDN cache、authorizationを独立検証しない。; Provenance content生成とplatform signer authenticityはPSB-BUILD-003、consumer側の署名・subject・builder expectation検証はPSB-REL-001が担当する。; 一年間のreference retentionは全productのsupport lifecycleや法的保存要件を満たすとは限らず、組織policyで延長する必要がある。; Public accessが不適切なprivate productではintended consumerのauthenticated access profileへ置き換え、credentialをmanifestへ埋め込んではならない。; このcontrolとSLSA mappingはSLSA Build Level 2達成またはcomplianceを単独で証明しない。,,,,,,,
